Student_ID,First_Name,Last_Name,Email,Gender,Department,Grade,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Age,Math_Score,assi_Math,Science_Score,assi_Science,English_Score,assi_English,Social_Studies_Score,assi_Social_Studie,French_Score,assi_French,Computer_Science_Score,assi_Computer_Science,last_score,Study_Hours_per_Week,Stress_Level (1-10),Sleep_Hours_per_Night,assi_late,non-academic_attendance,academic_attendance,lms_login_freq_per_day,lms_active_avg_hrs,resource_access_avg_hrs
S1002,Ahmed,Jones,student2@university.com,Male,5th Grade,C,No,Yes,Master's,Low,10,68.5,67.6,75.5,35.0,71.0,46.0,66.0,52.0,73.0,35.0,67.0,54.0,72.2,20.7,6,6.2,0.0,89.5,87.5,2.3,1.65,0.9
S1002,Ahmed,Jones,student2@university.com,Male,6th Grade,C,No,Yes,Master's,Low,12,63.0,57.4,66.0,95.0,74.5,99.0,71.5,66.0,76.0,90.0,78.0,71.0,70.9,20.7,6,6.2,0.0,91.0,83.0,1.8,1.3,0.8
S1002,Ahmed,Jones,student2@university.com,Male,Middle School,C,No,Yes,Master's,Low,12,66.33333333,66.8,69.33333333,85.0,69.66666667,81.0,78.33333333,70.0,73.33333333,81.0,72.66666667,60.0,74.2,20.7,6,6.2,0.0,77.66666667,97.33333333,1.6,1.233333333,1.233333333
S1017,Liam,Davis,student17@university.com,Female,6th Grade,F,No,No,PhD,Medium,12,56.0,64.2,57.0,70.0,54.0,75.0,55.0,56.0,64.0,79.5,56.0,72.0,63.1,6.2,10,7.6,0.0,78.0,67.0,0.9,1.1,0.7
S1017,Liam,Davis,student17@university.com,Female,Middle School,F,No,No,PhD,Medium,12,59.0,52.9,53.0,85.0,57.0,94.0,58.0,80.0,54.0,89.5,65.0,76.0,56.7,6.2,10,7.6,0.0,81.0,83.0,0.8,1.1,0.8
S1019,John,Johnson,student19@university.com,Male,5th Grade,D,Yes,Yes,PhD,Low,10,63.0,56.6,58.0,70.0,63.0,92.0,68.0,90.0,72.0,90.0,68.0,60.0,64.4,23.5,10,4.4,0.0,83.0,83.0,1.7,1.6,0.9
S1019,John,Johnson,student19@university.com,Male,6th Grade,D,Yes,Yes,PhD,Low,12,79.0,86.0,72.0,73.5,76.0,62.0,68.0,57.3,61.0,74.5,67.0,58.3,76.8,23.5,10,4.4,0.0,75.0,83.0,2.4,1.8,1.1
S1019,John,Johnson,student19@university.com,Male,Middle School,D,Yes,Yes,PhD,Low,12,69.0,70.2,65.0,70.2,70.0,76.7,77.0,76.7,72.0,80.1,73.0,63.3,74.1,23.5,10,4.4,0.0,75.0,92.0,2.0,1.8,0.8
S1023,Liam,Williams,student23@university.com,Female,5th Grade,F,No,Yes,Master's,Low,10,90.0,79.8,87.0,71.7,94.0,92.7,86.0,68.0,92.0,97.8,83.0,72.6,86.8,18.5,1,8.6,,,,,,
S1024,Maria,Williams,student24@university.com,Female,5th Grade,D,Yes,Yes,High School,Low,10,65.0,64.7,59.0,58.7,66.0,60.1,68.0,52.6,47.0,61.1,54.0,51.0,62.0,10.9,4,5.7,0.0,75.0,92.0,1.6,1.6,1.0
